triangle_index,node_1,node_2,node_3,supernode_group
0,0,11,37,8
1,0,11,267,5
2,0,37,164,1
3,0,164,267,2
4,1,4,44,5
5,1,4,274,5
6,1,19,44,5
7,1,19,274,5
8,2,94,141,6
9,2,94,370,5
10,2,97,141,5
11,2,97,167,1
12,2,164,167,6
13,2,164,393,5
14,2,326,370,9
15,2,326,393,5
16,3,51,195,3
17,3,51,236,6
18,3,195,197,6
19,3,196,197,6
20,3,196,236,6
21,4,5,51,5
22,4,5,281,5
23,4,44,45,1
24,4,45,51,5
25,4,274,275,2
26,4,275,281,2
27,5,51,195,5
28,5,195,281,5
29,6,122,168,6
30,6,122,196,6
31,6,168,351,2
32,6,196,197,6
33,6,197,419,6
34,6,351,419,2
35,7,25,33,5
36,7,25,110,5
37,7,110,163,6
38,8,9,55,5
39,8,9,285,5
40,8,55,193,6
41,8,168,193,6
42,8,168,417,9
43,8,285,417,5
44,9,55,107,3
45,9,107,108,1
46,9,108,151,1
47,9,151,337,6
48,9,285,336,2
49,9,336,337,2
50,10,109,151,5
51,10,151,338,2
52,11,12,72,5
53,11,12,302,5
54,11,37,72,1
55,11,267,302,2
56,12,13,38,5
57,12,13,268,5
58,12,38,72,1
59,12,268,302,2
60,13,38,82,1
61,13,268,312,2
62,14,15,86,5
63,14,15,316,5
64,14,86,87,1
65,14,316,317,2
66,15,16,85,5
67,15,16,315,5
68,15,85,86,1
69,15,315,316,2
70,16,17,85,5
71,16,17,315,5
72,17,18,83,5
73,17,18,313,5
74,17,83,84,1
75,17,84,85,1
76,17,313,314,2
77,17,314,315,2
78,18,83,201,1
79,18,200,201,6
80,18,200,421,9
81,18,313,421,5
82,19,44,125,1
83,19,94,141,5
84,19,94,370,9
85,19,125,141,6
86,19,274,354,2
87,19,354,370,9
88,20,60,99,3
89,20,60,166,6
90,20,79,166,5
91,20,79,238,1
92,20,99,242,5
93,20,238,242,6
94,21,54,68,5
95,21,68,71,1
96,21,71,162,5
97,22,23,145,5
98,22,23,230,5
99,22,26,154,5
100,22,26,231,5
101,22,145,153,6
102,22,153,154,6
103,22,230,231,6
